

GSM非销户用户清单
SUBSCRBID  rfee       rentfee    
200569820  63.85      5.00       
200569824  59.27      5.00       
200569838  63.50      5.00       
200569839  59.42      5.00       
201938547  61.61      5.00       
202104870  60.47      0.00       
202365833  64.67      5.00       
202379776  58.14      5.00       
202459435  56.86      5.00       
202460905  57.90      5.00       
202744700  61.86      5.00       
202746949  57.50      5.00       
202758061  59.93      5.00       
202758097  63.40      5.00       
202758827  56.18      5.00       
202848121  64.60      5.00       
202850827  63.21      5.00       
202856047  57.34      5.00       
202868695  57.07      5.00       
202904682  64.35      5.00       
202905394  61.00      5.00       
202910916  63.34      0.00       
202911254  56.33      5.00       
202913386  58.61      5.00       
202913526  59.15      0.00       
202913679  58.88      0.00       
202913804  58.25      5.00       
202914013  64.69      5.00       
202915670  60.71      5.00       
202916528  57.58      0.00       
202916934  63.07      5.00       
202916940  59.27      5.00       
202917294  59.39      5.00       
202917452  58.19      5.00       
202918774  60.45      5.00       
202919743  56.90      5.00       
202922372  64.08      0.00       
202922385  57.73      5.00       
202925993  60.31      5.00       
202926278  57.52      5.00       
202968002  60.13      5.00       
202968349  56.75      5.00       
202968434  56.51      5.00       
202968515  59.14      5.00       
202969006  56.22      0.00       
203031442  59.35      0.00       
203591313  55.42      5.00       
203600794  62.99      5.00       
203602171  60.30      0.00       
203608647  59.21      5.00       
203621915  59.27      5.00       
203625467  59.57      5.00       
